[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SELECT @@sql_mode; args=None
[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SELECT @@sql_mode; args=None
[2017-02-21 10:59:12] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.001) SHOW FULL TABLES; args=None
[2017-02-21 10:59:13] DEBUG [django.db.backends.schema:103] CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params None)
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.045) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); args=None
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.001) SHOW FULL TABLES; args=None
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2017-02-21 10:59:13] DEBUG [django.db.backends.schema:103] CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.033) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
[2017-02-21 10:59:13] DEBUG [django.db.backends:90] (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
